timestamp,value,classification,date
1517463000,30,Fear,2018-02-01
1517549400,15,Extreme Fear,2018-02-02
1517635800,40,Fear,2018-02-03
1517722200,24,Extreme Fear,2018-02-04
1517808600,11,Extreme Fear,2018-02-05
1517895000,8,Extreme Fear,2018-02-06
1517981400,36,Fear,2018-02-07
1518067800,30,Fear,2018-02-08
1518154200,44,Fear,2018-02-09
1518240600,54,Neutral,2018-02-10
1518327000,31,Fear,2018-02-11
1518413400,42,Fear,2018-02-12
1518499800,35,Fear,2018-02-13
1518586200,55,Greed,2018-02-14
1518672600,71,Greed,2018-02-15
1518759000,67,Greed,2018-02-16
1518845400,74,Greed,2018-02-17
1518931800,63,Greed,2018-02-18
1519018200,67,Greed,2018-02-19
1519104600,74,Greed,2018-02-20
1519191000,54,Neutral,2018-02-21
1519277400,44,Fear,2018-02-22
1519363800,39,Fear,2018-02-23
1519450200,31,Fear,2018-02-24
1519536600,33,Fear,2018-02-25
1519623000,37,Fear,2018-02-26
1519709400,44,Fear,2018-02-27
1519795800,41,Fear,2018-02-28
1519882200,38,Fear,2018-03-01
1519968600,47,Neutral,2018-03-02
1520055000,56,Greed,2018-03-03
1520141400,44,Fear,2018-03-04
1520227800,55,Greed,2018-03-05
1520314200,59,Greed,2018-03-06
1520400600,37,Fear,2018-03-07
1520487000,39,Fear,2018-03-08
1520573400,37,Fear,2018-03-09
1520659800,39,Fear,2018-03-10
1520746200,40,Fear,2018-03-11
1520832600,41,Fear,2018-03-12
1520919000,41,Fear,2018-03-13
1521005400,40,Fear,2018-03-14
1521091800,32,Fear,2018-03-15
1521178200,33,Fear,2018-03-16
1521264600,31,Fear,2018-03-17
1521351000,29,Fear,2018-03-18
1521437400,29,Fear,2018-03-19
1521523800,37,Fear,2018-03-20
1521610200,36,Fear,2018-03-21
1521696600,36,Fear,2018-03-22
1521783000,28,Fear,2018-03-23
1521869400,32,Fear,2018-03-24
1521955800,30,Fear,2018-03-25
1522042200,31,Fear,2018-03-26
1522128600,24,Extreme Fear,2018-03-27
1522215000,24,Extreme Fear,2018-03-28
1522301400,18,Extreme Fear,2018-03-29
1522387800,12,Extreme Fear,2018-03-30
1522474200,16,Extreme Fear,2018-03-31
1522560600,16,Extreme Fear,2018-04-01
1522647000,11,Extreme Fear,2018-04-02
1522733400,22,Extreme Fear,2018-04-03
1522819800,22,Extreme Fear,2018-04-04
1522906200,17,Extreme Fear,2018-04-05
1522992600,19,Extreme Fear,2018-04-06
1523079000,20,Extreme Fear,2018-04-07
1523165400,17,Extreme Fear,2018-04-08
1523251800,21,Extreme Fear,2018-04-09
1523338200,18,Extreme Fear,2018-04-10
1523424600,20,Extreme Fear,2018-04-11
1523511000,18,Extreme Fear,2018-04-12
1523597400,23,Extreme Fear,2018-04-13
1523943000,26,Fear,2018-04-17
1524029400,24,Extreme Fear,2018-04-18
1524115800,25,Fear,2018-04-19
1524202200,26,Fear,2018-04-20
1524288600,32,Fear,2018-04-21
1524375000,31,Fear,2018-04-22
1524461400,28,Fear,2018-04-23
1524547800,29,Fear,2018-04-24
1524634200,64,Greed,2018-04-25
1524720600,47,Neutral,2018-04-26
1524807000,55,Greed,2018-04-27
1524893400,54,Neutral,2018-04-28
1524979800,61,Greed,2018-04-29
1525066200,59,Greed,2018-04-30
1525152600,56,Greed,2018-05-01
1525239000,52,Neutral,2018-05-02
1525325400,55,Greed,2018-05-03
1525411800,56,Greed,2018-05-04
1525498200,63,Greed,2018-05-05
1525584600,67,Greed,2018-05-06
1525671000,56,Greed,2018-05-07
1525757400,62,Greed,2018-05-08
1525843800,53,Neutral,2018-05-09
1525930200,63,Greed,2018-05-10
1526016600,41,Fear,2018-05-11
1526103000,44,Fear,2018-05-12
1526189400,40,Fear,2018-05-13
1526275800,40,Fear,2018-05-14
